sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865202| got data from BME280
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865202| 2413
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865210| 4873
sensor11|Thu Mar 09 2017 21:54:25 GMT+0100 (CET)|1489092865210| 332
server  |Thu Mar 09 2017 21:54:28 GMT+0100 (CET)|1489092868931| Sensor11SendOk
server  |Thu Mar 09 2017 21:54:29 GMT+0100 (CET)|1489092869715| 2413|4873|332|323|11
sensor11|Thu Mar 09 2017 21:54:29 GMT+0100 (CET)|1489092869715| Sending data to server
sensor11|Thu Mar 09 2017 21:54:30 GMT+0100 (CET)|1489092870855| SendOk
sensor11|Thu Mar 09 2017 21:54:30 GMT+0100 (CET)|1489092870855| 
sensor11|Thu Mar 09 2017 21:54:45 GMT+0100 (CET)|1489092885084| wakeUp
server  |Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899853| Sensor11StartSending
server  |Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899855| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899862| got data from server
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899870| start-s11
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899870| got start command
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899875| reset BME280
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899885| got data from BME280
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899885| 2420
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899891| 4877
sensor11|Thu Mar 09 2017 21:54:59 GMT+0100 (CET)|1489092899891| 343
server  |Thu Mar 09 2017 21:55:03 GMT+0100 (CET)|1489092903842| Sensor11SendOk
server  |Thu Mar 09 2017 21:55:04 GMT+0100 (CET)|1489092904399| 2420|4877|343|323|11
sensor11|Thu Mar 09 2017 21:55:04 GMT+0100 (CET)|1489092904399| Sending data to server
sensor11|Thu Mar 09 2017 21:55:05 GMT+0100 (CET)|1489092905727| SendOk
sensor11|Thu Mar 09 2017 21:55:05 GMT+0100 (CET)|1489092905727| 
sensor11|Thu Mar 09 2017 21:55:19 GMT+0100 (CET)|1489092919702| wakeUp
server  |Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934536| Sensor11StartSending
server  |Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934539| Sensor11StartSending
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934546| got data from server
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934554| start-s11
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934554| got start command
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934559| reset BME280
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934574| got data from BME280
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934574| 2424
sensor11|Thu Mar 09 2017 21:55:34 GMT+0100 (CET)|1489092934575| 4882
